id_ato_linkado,pdf,status_validacao,motivo_falha
235_129.10.7.2018-R39,DODF 129 10-07-2018 INTEGRA.pdf,validado,
235_129.10.7.2018-R40,DODF 129 10-07-2018 INTEGRA.pdf,validado,
235_129.10.7.2018-R41,DODF 129 10-07-2018 INTEGRA.pdf,validado,
235_129.10.7.2018-R42,DODF 129 10-07-2018 INTEGRA.pdf,validado,
235_129.10.7.2018-R43,DODF 129 10-07-2018 INTEGRA.pdf,validado,
235_129.10.7.2018-R44,DODF 129 10-07-2018 INTEGRA.pdf,validado,
235_129.10.7.2018-R45,DODF 129 10-07-2018 INTEGRA.pdf,validado,
235_129.10.7.2018-R46,DODF 129 10-07-2018 INTEGRA.pdf,validado,
235_129.10.7.2018-R47,DODF 129 10-07-2018 INTEGRA.pdf,validado,
235_129.10.7.2018-R48,DODF 129 10-07-2018 INTEGRA.pdf,validado,
235_129.10.7.2018-R49,DODF 129 10-07-2018 INTEGRA.pdf,validado,
235_129.10.7.2018-R50,DODF 129 10-07-2018 INTEGRA.pdf,validado,
235_129.10.7.2018-R51,DODF 129 10-07-2018 INTEGRA.pdf,validado,
24_24.12.2019-R17,DODF 244 24-12-2019 INTEGRA.pdf,validado,
24_24.12.2019-R18,DODF 244 24-12-2019 INTEGRA.pdf,validado,
24_24.12.2019-R20,DODF 244 24-12-2019 INTEGRA.pdf,validado,
24_24.12.2019-R21,DODF 244 24-12-2019 INTEGRA.pdf,validado,
24_24.12.2019-R22,DODF 244 24-12-2019 INTEGRA.pdf,validado,
24_24.12.2019-R23,DODF 244 24-12-2019 INTEGRA.pdf,validado,
24_24.12.2019-R24,DODF 244 24-12-2019 INTEGRA.pdf,validado,
24_24.12.2019-R25,DODF 244 24-12-2019 INTEGRA.pdf,validado,
24_24.12.2019-R26,DODF 244 24-12-2019 INTEGRA.pdf,validado,
24_24.12.2019-R27,DODF 244 24-12-2019 INTEGRA.pdf,validado,
24_24.12.2019-R28,DODF 244 24-12-2019 INTEGRA.pdf,validado,
24_24.12.2019-R29,DODF 244 24-12-2019 INTEGRA.pdf,validado,
24_24.12.2019-R34,DODF 244 24-12-2019 INTEGRA.pdf,validado,
24_24.12.2019-R36,DODF 244 24-12-2019 INTEGRA.pdf,validado,
24_24.12.2019-R38,DODF 244 24-12-2019 INTEGRA.pdf,validado,
24_24.12.2019-R39,DODF 244 24-12-2019 INTEGRA.pdf,validado,
24_24.12.2019-R40,DODF 244 24-12-2019 INTEGRA.pdf,validado,
24_24.12.2019-R41,DODF 244 24-12-2019 INTEGRA.pdf,validado,
24_24.12.2019-R42,DODF 244 24-12-2019 INTEGRA.pdf,validado,
24_24.12.2019-R43,DODF 244 24-12-2019 INTEGRA.pdf,validado,
24_24.12.2019-R44,DODF 244 24-12-2019 INTEGRA.pdf,validado,
24_24.12.2019-R45,DODF 244 24-12-2019 INTEGRA.pdf,validado,
24_24.12.2019-R46,DODF 244 24-12-2019 INTEGRA.pdf,validado,
24_24.12.2019-R47,DODF 244 24-12-2019 INTEGRA.pdf,validado,
24_29.1.2019-R10,DODF 020 29-01-2019 INTEGRA.pdf,validado,
24_29.1.2019-R11,DODF 020 29-01-2019 INTEGRA.pdf,validado,
251_108.8.6.2018-R16,DODF 108 08-06-2018 INTEGRA.pdf,validado,
251_108.8.6.2018-R17,DODF 108 08-06-2018 INTEGRA.pdf,validado,
251_108.8.6.2018-R19,DODF 108 08-06-2018 INTEGRA.pdf,validado,
25_27.12.2018-R12,DODF 245 27-12-2018 INTEGRA.pdf,validado,
25_27.12.2018-R13,DODF 245 27-12-2018 INTEGRA.pdf,validado,
25_27.12.2018-R14,DODF 245 27-12-2018 INTEGRA.pdf,validado,
25_27.12.2018-R15,DODF 245 27-12-2018 INTEGRA.pdf,validado,
25_27.12.2018-R16,DODF 245 27-12-2018 INTEGRA.pdf,validado,
25_27.12.2018-R18,DODF 245 27-12-2018 INTEGRA.pdf,validado,
2_19.6.2019-R1,DODF 115 19-06-2019 INTEGRA.pdf,validado,
2_19.6.2019-R2,DODF 115 19-06-2019 INTEGRA.pdf,validado,
2_19.6.2019-R3,DODF 115 19-06-2019 INTEGRA.pdf,validado,
2_25.2.2019-R1,DODF 039 25-02-2019 INTEGRA.pdf,validado,
2_25.2.2019-R13,DODF 039 25-02-2019 INTEGRA.pdf,validado,
2_25.2.2019-R2,DODF 039 25-02-2019 INTEGRA.pdf,validado,
2_25.2.2019-R3,DODF 039 25-02-2019 INTEGRA.pdf,validado,
3_29.3.2019-R1,DODF 060 29-03-2019 INTEGRA.pdf,validado,
3_29.3.2019-R2,DODF 060 29-03-2019 INTEGRA.pdf,validado,
3_29.3.2019-R3,DODF 060 29-03-2019 INTEGRA.pdf,validado,
3_29.3.2019-R4,DODF 060 29-03-2019 INTEGRA.pdf,validado,
3_29.3.2019-R5,DODF 060 29-03-2019 INTEGRA.pdf,validado,
3_4.7.2019-R1,DODF 124 04-07-2019 INTEGRA.pdf,validado,
3_4.7.2019-R2,DODF 124 04-07-2019 INTEGRA.pdf,validado,
3_4.7.2019-R3,DODF 124 04-07-2019 INTEGRA.pdf,validado,
4_12.7.2019-R1,DODF 130 12-07-2019 INTEGRA.pdf,validado,
4_12.7.2019-R2,DODF 130 12-07-2019 INTEGRA.pdf,validado,
4_12.7.2019-R3,DODF 130 12-07-2019 INTEGRA.pdf,validado,
4_15.4.2019-R1,DODF 071 15-04-2019 INTEGRA.pdf,validado,
4_15.4.2019-R2,DODF 071 15-04-2019 INTEGRA.pdf,validado,
5_16.7.2019-R1,DODF 132 16-07-2019 INTEGRA.pdf,validado,
5_16.7.2019-R2,DODF 132 16-07-2019 INTEGRA.pdf,validado,
5_16.7.2019-R3,DODF 132 16-07-2019 INTEGRA.pdf,validado,
5_16.7.2019-R4,DODF 132 16-07-2019 INTEGRA.pdf,validado,
5_16.7.2019-R5,DODF 132 16-07-2019 INTEGRA.pdf,validado,
5_16.7.2019-R6,DODF 132 16-07-2019 INTEGRA.pdf,validado,
5_16.7.2019-R7,DODF 132 16-07-2019 INTEGRA.pdf,validado,
5_21.5.2019-R1,DODF 094 21-05-2019 INTEGRA.pdf,validado,
5_21.5.2019-R13,DODF 094 21-05-2019 INTEGRA.pdf,validado,
5_21.5.2019-R14,DODF 094 21-05-2019 INTEGRA.pdf,validado,
5_21.5.2019-R15,DODF 094 21-05-2019 INTEGRA.pdf,validado,
5_21.5.2019-R16,DODF 094 21-05-2019 INTEGRA.pdf,validado,
5_21.5.2019-R3,DODF 094 21-05-2019 INTEGRA.pdf,validado,
5_21.5.2019-R38,DODF 094 21-05-2019 INTEGRA.pdf,validado,
5_21.5.2019-R39,DODF 094 21-05-2019 INTEGRA.pdf,validado,
5_21.5.2019-R48,DODF 094 21-05-2019 INTEGRA.pdf,validado,
5_21.5.2019-R49,DODF 094 21-05-2019 INTEGRA.pdf,validado,
5_21.5.2019-R50,DODF 094 21-05-2019 INTEGRA.pdf,validado,
5_21.5.2019-R51,DODF 094 21-05-2019 INTEGRA.pdf,validado,
5_21.5.2019-R52,DODF 094 21-05-2019 INTEGRA.pdf,validado,
5_21.5.2019-R53,DODF 094 21-05-2019 INTEGRA.pdf,validado,
624-R101,DODF 215 18-11-2021 INTEGRA.pdf,validado,
624-R104,DODF 215 18-11-2021 INTEGRA.pdf,validado,
624-R105,DODF 215 18-11-2021 INTEGRA.pdf,validado,
624-R106,DODF 215 18-11-2021 INTEGRA.pdf,validado,
624-R107,DODF 215 18-11-2021 INTEGRA.pdf,validado,
624-R108,DODF 207 30-10-2019 INTEGRA.pdf,validado,
624-R112,DODF 236 20-12-2021 INTEGRA.pdf,validado,
624-R113,DODF 236 20-12-2021 INTEGRA.pdf,validado,
624-R114,DODF 195 11-10-2019 INTEGRA.pdf,validado,
624-R116,DODF 110 15-06-2021 INTEGRA.pdf,validado,
624-R123,DODF 232 14-12-2021 INTEGRA.pdf,validado,
624-R126,DODF 215 18-11-2021 INTEGRA.pdf,validado,
624-R129,DODF 236 20-12-2021 INTEGRA.pdf,validado,
624-R145,DODF 215 18-11-2021 INTEGRA.pdf,validado,
624-R146,DODF 215 18-11-2021 INTEGRA.pdf,validado,
624-R147,DODF 215 18-11-2021 INTEGRA.pdf,validado,
624-R148,DODF 215 18-11-2021 INTEGRA.pdf,validado,
624-R149,DODF 215 18-11-2021 INTEGRA.pdf,validado,
624-R150,DODF 215 18-11-2021 INTEGRA.pdf,validado,
624-R151,DODF 215 18-11-2021 INTEGRA.pdf,validado,
624-R152,DODF 215 18-11-2021 INTEGRA.pdf,validado,
624-R153,DODF 215 18-11-2021 INTEGRA.pdf,validado,
624-R154,DODF 215 18-11-2021 INTEGRA.pdf,validado,
624-R157,DODF 215 18-11-2021 INTEGRA.pdf,validado,
624-R158,DODF 215 18-11-2021 INTEGRA.pdf,validado,
624-R159,DODF 215 18-11-2021 INTEGRA.pdf,validado,
624-R160,DODF 215 18-11-2021 INTEGRA.pdf,validado,
624-R46,DODF 215 18-11-2021 INTEGRA.pdf,validado,
624-R47,DODF 215 18-11-2021 INTEGRA.pdf,validado,
624-R48,DODF 215 18-11-2021 INTEGRA.pdf,validado,
624-R49,DODF 215 18-11-2021 INTEGRA.pdf,validado,
624-R50,DODF 215 18-11-2021 INTEGRA.pdf,validado,
624-R51,DODF 215 18-11-2021 INTEGRA.pdf,validado,
624-R52,DODF 215 18-11-2021 INTEGRA.pdf,validado,
624-R53,DODF 215 18-11-2021 INTEGRA.pdf,validado,
