id_ato_linkado,pdf,status_validacao,motivo_falha
4_15.4.2019-R4,DODF 071 15-04-2019 INTEGRA.pdf,invalidado,Valor (20000000) E Processo (0037000000309201928) não encontrados no PDF
667-R57,DODF 113 18-06-2021 INTEGRA.pdf,invalidado,Valor (9407760) E Processo (0410000362021) não encontrados no PDF
636-R81,DODF 181 24-09-2021 INTEGRA.pdf,invalidado,Valor (20000000) E Processo (0410007212020) não encontrados no PDF
630-R64,DODF 226 06-12-2021 INTEGRA.pdf,invalidado,Valor (307999992) E Processo (0410009752021) não encontrados no PDF
664-R8,DODF 102 01-06-2021 INTEGRA.pdf,invalidado_extrato_ruim,Não foi possível extrair N° do Processo do extrato
671-R43,DODF 113 18-06-2021 INTEGRA.pdf,invalidado,Valor (3216080) E Processo (0009000032956202005) não encontrados no PDF
670-R10,DODF 126 07-07-2021 INTEGRA.pdf,invalidado,Valor (4171820) E Processo (0036700000280202149) não encontrados no PDF
671-R80,DODF 113 18-06-2021 INTEGRA.pdf,invalidado,Valor (24605997) E Processo (0010001162018) não encontrados no PDF
627-R102,DODF 126 07-07-2021 INTEGRA.pdf,invalidado,Valor (31500000) E Processo (0410000982021) não encontrados no PDF
638-R26,DODF 053 18-03-2022 INTEGRA.pdf,invalidado,Valor (3250000) E Processo (0005500015494202061) não encontrados no PDF
671-R82,DODF 113 18-06-2021 INTEGRA.pdf,invalidado,Valor (1795000) E Processo (0019600000281202101) não encontrados no PDF
625-R84,DODF 233 15-12-2021 INTEGRA.pdf,invalidado,Valor (152999880) E Processo (0043100009540201951) não encontrados no PDF
637-R160,DODF 191 08-10-2021 INTEGRA.pdf,invalidado,Valor (1578000) E Processo (0040100004212202195) não encontrados no PDF
24_24.12.2019-R19,DODF 244 24-12-2019 INTEGRA.pdf,invalidado,Valor (1500000) E Processo (12092019) não encontrados no PDF
22_20.12.2019.1-R24,DODF 242 20-12-2019 INTEGRA.pdf,invalidado,"Valor OK (10000000), mas N° Processo (11912019) não encontrado"
10_11.10.2019-R8,DODF 195 11-10-2019 INTEGRA.pdf,invalidado_extrato_ruim,Não foi possível extrair N° do Processo do extrato
214_109.11.6.2019-R48,DODF 109 11-06-2019 INTEGRA.pdf,invalidado_extrato_ruim,Não foi possível extrair N° do Processo do extrato
11_30.10.2019-R3,DODF 207 30-10-2019 INTEGRA.pdf,invalidado,Valor (12000000) E Processo (10932019) não encontrados no PDF
15_28.11.2019-R26,DODF 226 28-11-2019 INTEGRA.pdf,invalidado_extrato_ruim,Não foi possível extrair N° do Processo do extrato
634-R92,DODF 232 14-12-2021 INTEGRA.pdf,invalidado,Valor (9684320) E Processo (0036700000435202147) não encontrados no PDF
667-R59,DODF 110 15-06-2021 INTEGRA.pdf,invalidado,"Processo OK (0009200012467202107), mas Valor (66307575) não encontrado"
672-R88,DODF 117 24-06-2021 INTEGRA.pdf,invalidado,Valor (2990000) E Processo (0010008532019) não encontrados no PDF
627-R62,DODF 235 17-12-2021 INTEGRA.pdf,invalidado,Valor (69849655) E Processo (0013300001648202101) não encontrados no PDF
10_11.10.2019-R1,DODF 195 11-10-2019 INTEGRA.pdf,invalidado,Valor (13324281) E Processo (0014500000647201923) não encontrados no PDF
10_11.10.2019-R10,DODF 195 11-10-2019 INTEGRA.pdf,invalidado_extrato_ruim,Não foi possível extrair N° do Processo do extrato
10_11.10.2019-R11,DODF 195 11-10-2019 INTEGRA.pdf,invalidado_extrato_ruim,Não foi possível extrair N° do Processo do extrato
10_11.10.2019-R14,DODF 195 11-10-2019 INTEGRA.pdf,invalidado,Valor (20050000) E Processo (0005400018200201948) não encontrados no PDF
10_11.10.2019-R15,DODF 195 11-10-2019 INTEGRA.pdf,invalidado,Valor (49495900) E Processo (0040000020718201955) não encontrados no PDF
10_11.10.2019-R16,DODF 195 11-10-2019 INTEGRA.pdf,invalidado,Valor (630500) E Processo (0022000003406201903) não encontrados no PDF
10_11.10.2019-R17,DODF 195 11-10-2019 INTEGRA.pdf,invalidado,Valor (65598) E Processo (0022000003406201903) não encontrados no PDF
10_11.10.2019-R18,DODF 195 11-10-2019 INTEGRA.pdf,invalidado,Valor (448500) E Processo (0022000003406201903) não encontrados no PDF
10_11.10.2019-R19,DODF 195 11-10-2019 INTEGRA.pdf,invalidado,Valor (1722762) E Processo (0022000003406201903) não encontrados no PDF
